Ocean Biomes,Seas,Oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Biomes,Mountains,Badlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountains,Ursaring,Teddiursa,Chatot,Starly,Duraludon,Falinks,Centiskorch,Sizzlipede,Carkol,Coalossal,Rolycoly,Kommo-O,Jangmo-O,Hakamo-O,Drampa,Clefairy,Mienshao,Mienfoo,Hariyama,Makuhita,Cleffa,Clefable,Turtonator,Rockruff,Lycanroc,Pangoro,Pancham,Skiddo,Diggersby,Bunnelby,Durant,Heatmor,Cinccino,Minccino,Sawk,Throh,Bonsly,Snorlax,Conkeldurr,Timburr,Gigalith,Boldore,Roggenrola,Stoutland,Gliscor,Rhyperior,Rhydon,Rhyhorn,Chingling,Chimecho,Staraptor,Staravia,Munchlax,Absol,Medicham,Meditite,Tyranitar,Larvitar,Pupitar,Hitmontop,Tyrogue,Hitmonchan,Hitmonlee,Stantler,Shuckle,Steelix,Onix,Scyther,Cubone,Marowak,Golem,Graveler,Geodude,Machamp,Machoke,Machop,Primeape,Mankey,Jumpluff,Skiploom,Hoppip,Vanillish,Vanilluxe,Vanillite,Froslass,Mamoswine,Swinub,Piloswine,Sneasel,Weavile,Riolu,Lopunny,Spinda,Aron,Grumpig,Spoink,Lairon,Aggron,Lucario,Buneary,Sawsbuck,Deerling,Glalie,Snorunt,Hydreigon,Salamence,Metagross,Beldum,Shelgon,Bagon,Metang,Gliscor,Cramorant,Pelipper,Wingull,Spoink,Grumpig,Oranguru,Minior,Monferno,Infernape,Chimchar,Dellbat,Pipat,Bunntric,Briganite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badlands,Salazzle,Salandit,Toxel,Toxtricity Low Key,Mandibuzz,Vullaby,Scraggy,Scrafty,Garchomp,Gabite,Gible,Houndoom,Falinks,Kommo-O,Jangmo-O,Hakamo-O,Mudsdale,Mudbray,Rockruff,Lycanroc,Rhyperior,Rhydon,Rhyhorn,Tyranitar,Larvitar,Pupitar,Skarmory,Cubone,Marowak,Pawniard,Duskull,Metagross,Beldum,Dusclops,Dusknoir,Metang,Toxtricity Amped,Spearow,Fearow,Diggersby,Bunnelby,Donphan,Phanpy,Hydreigon,Pawniard,Skarmory,Kangaskhan,Brasar Wooloo,Dubwool,Houndour,Flaralf,Guarwolf,Karcahawk,Canarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Biomes,Fields,Savannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fields,Togedemaru,Dedenne,Electivire,Electabuzz,Elekid,Plusle,Minun,Spearow,Chatot,Starly,Skiddo,Diggersby,Bunnelby,Stoutland,Staraptor,Staravia,Medicham,Meditite,Jumpluff,Skiploom,Hoppip,Pidgey,Fletchling,Watchog,Patrat,Morpeko,Dubwool,Wooloo,Nidoking,Nidorino,Nidoran M,Litleo,Pyroar,Nidorina,Nidoqueen,Nidoran F,Nickit,Orbeetle,Blipbug,Dottler,Ribombee,Sunflora,Sunkern,Florges,Floette,Flabebe,Talonflame,Fletchinder,Milcery,Herdier,Lillipup,Alcremie,Cutiefly,Pumpkaboo,Gourgeist,Espurr,Meowstic,Swablu,Linoone,Zigzagoon,Persian,Meowth,Raticate,Rattata,Escavalier,Karrablast,Yamper,Eldegoss,Gossifleur,Chesnaught,Quilladin,Chespin,Amoonguss,Foongus,Pidgeot,Pidgeotto,Altaria,Thievul,Luxray,Kricketune,Roserade,Luxio,Shinx,Kecleon,Budew,Obstagoon,Boltund,Spinda,Roselia,Kricketot,Toxel,Toxtricity Low Key,Sandslash,Sandshrew,Stonjourner,Chingling,Chimecho,Scyther,Hypno,Drowzee,Electrike,Zangoose,Manectric,Gumshoos,Yungoos,Morpeko,Dubwool,Wooloo,Poochyena,Mightyena,Scizor,Tauros,Ponyta,Rapidash,Serperior,Servine,Snivy,Sentret,Furret,Linoone,Zigzagoon,Pidgey,Incineroar,Torracat,Litten,Farfetch'd,Galarian Farfetch'd,Yamper,Obstagoon,Boltund,Fearow,Watchog,Patrat,Unfezant,Tranquill,Pidove,Arcanine,Growlithe,Bellossom,Sirfetch'd,Hawlucha,Swellow,Taillow,Toxtricity Amped,Mandibuzz,Vullaby,Mudsdale,Mudbray,Rhyperior,Rhydon,Rhyhorn,Bouffalant,Zebstrika,Blitzle,Doduo,Miltank,Girafarig,Dodrio,Tauros,Ponyta,Rapidash,Arbok,Ekans,Raticate,Rattata,Kangaskhan,Arcanine,Growlithe,Skiddo,Dubwool,Wooloo,Miltank,Yamper,Boltund,Tangela,Tangrowth,Vileplume,Gloom,Oddish,Pikachu,Braixen,Fennekin,Donphan,Phanpy,Ampharos,Flaaffy,Mareep,Meganium,Bayleef,Chikorita,Cinderace,Raboot,Scorbunny,Preampere,Polchigeist,Brasar Sinistea,Headlesh,Brasar Ponyta,Peasychic,Fairyss,Thuncken,Chictric,Foxion,Brasar Ninetales,Brasar Vulpix,Flaralf,Guarwolf,Bellcaf,Bumboi,Kapoehnaue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannas,Rhyperior,Rhydon,Rhyhorn,Cufant,Copperajah,Hypno,Watchog,Patrat,Bouffalant,Zebstrika,Blitzle,Doduo,Liepard,Poochyena,Mightyena,Girafarig,Dodrio,Nidoking,Nidorino,Nidoran M,Litleo,Pyroar,Nidorina,Nidoqueen,Nidoran F,Arbok,Ekans,Purrloin,Raticate,Rattata,Luxray,Luxio,Shinx,Blaziken,Combusken,Torchic,Pignite,Emboar,Tepig,Headlesh,Brasar Ponyta,Flatirica,Jaguarze,Flaguar,Flaralf,Guarwolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground Biomes,Caves,Canyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves,Hydreigon,Noibat,Noivern,Woobat,Swoobat,Crobat,Deino,Druddigon,Zweilous,Dunsparce,Nosepass,Whismur,Sableye,Loudred,Zubat,Exploud,Golbat,Galvantula,Vespiquen,Combee,Crustle,Dwebble,Mismagius,Misdreavus,Sandslash,Sandshrew,Klinklang,Klink,Klang,Joltik,Bronzong,Bronzor,Duraludon,Kommo-O,Jangmo-O,Hakamo-O,Turtonator,Durant,Heatmor,Shuckle,Cubone,Marowak,Golem,Graveler,Geodude,Machamp,Machoke,Machop,Haxorus,Fraxure,Axew,Solrock,Aggron,Lairon,Mawile,Lunatone,Aron,Carbink,Gigalith,Boldore,Roggenrola,Excadrill,Drilbur,Dugtrio,Diglett,Steelix,Onix,Parasect,Paras,Eelektross,Eelektrik,Tynamo,Garchomp,Gabite,Gible,Rhyperior,Rhydon,Rhyhorn,Salamence,Bagon,Shelgon,Ferrothorn,Ferroseed,Golisopod,Kingdra,Seadra,Horsea,Relicanth,Wynaut,Wobbuffet,Brasar Sableye,Allicuca,Brigarock,Wormadam Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyons,Falinks,Kommo-O,Jangmo-O,Hakamo-O,Salamence,Metagross,Beldum,Shelgon,Bagon,Metang,Excadrill,Drilbur,Dugtrio,Diglett,Steelix,Onix,Magnezone,Magnemite,Magneton,Brasar Sableye,Brigarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Biomes,Swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
