No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Tough,Beauty,Cool,Cute,Clever,Brawl,Channel,Clash,Evasion,Alert,Athletic,Nature,Stealth,Allure,Etiquette,Intimidate,Perform
23,Pidgeot,Normal,Flying,5,2,5,3,6,2,5,2,5,2,5,Keen Eye,Tangled Feet,Big Pecks,,,Yes,Ace,,,,,,,,,,,,,,,,,,
24,Mega-Pidgeot,Normal,Flying,6,2,5,3,7,2,5,3,7,2,5,No Guard,,,,,,Pro,,,,,,,,,,,,,,,,,,
25,Rattata,Normal,,3,2,4,2,5,1,3,1,3,1,3,Run Away,Guts,Hustle,,Yes,,Starter,,,,,,,,,,,,,,,,,,
26,Alolan Rattata,Dark,Normal,3,2,4,2,5,1,3,1,3,1,3,Gluttony,Hustle,Thick Fat,,Yes,,Starter,,,,,,,,,,,,,,,,,,
27,Raticate,Normal,,4,2,5,3,6,2,4,2,4,2,5,Run Away,Guts,Hustle,,,,Amateur,,,,,,,,,,,,,,,,,,
28,Alolan Raticate,Dark,Normal,4,2,5,2,5,2,5,1,3,2,5,Gluttony,Hustle,Thick Fat,,,,Amateur,,,,,,,,,,,,,,,,,,
29,Spearow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Keen Eye,,Sniper,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
30,Fearow,Normal,Flying,4,2,5,3,6,2,4,2,4,2,4,Keen Eye,,Sniper,,,,Amateur,,,,,,,,,,,,,,,,,,
31,Ekans,Poison,,3,2,4,2,4,1,3,1,3,2,4,Intimidate,Shed Skin,Unnerve,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
32,Arbok,Poison,,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Shed Skin,Unnerve,,,,Amateur,,,,,,,,,,,,,,,,,,
33,Pikachu,Electric,,4,2,4,2,5,1,3,2,4,2,4,Static,,Lightning Rod,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
34,Raichu,Electric,,5,2,5,3,6,2,4,3,6,2,5,Static,,Lightning Rod,,,,Amateur,,,,,,,,,,,,,,,,,,
35,Alolan Raichu,Electric,Psychic,5,2,5,3,6,2,4,3,6,2,5,Surge Surfer,,,,,,Amateur,,,,,,,,,,,,,,,,,,
36,Sandshrew,Ground,,3,2,5,1,3,2,5,1,3,1,3,Sand Veil,,Sand Rush,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
37,Alolan Sandshrew,Ice,Steel,3,2,5,1,3,2,5,1,2,1,3,Snow Cloak,,Slush Rush,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
38,Sandslash,Ground,,4,3,6,2,4,3,6,2,4,2,4,Sand Veil,,Sand Rush,,,,Amateur,,,,,,,,,,,,,,,,,,
39,Alolan Sandslash,Ice,Steel,4,3,6,2,4,3,7,1,3,2,4,Snow Cloak,,Slush Rush,,,,Amateur,,,,,,,,,,,,,,,,,,
40,Nidoran F,Poison,,3,2,4,1,3,2,4,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,F,,,,,,,,,,,,,,,,,
41,Nidorina,Poison,,4,2,4,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,Yes,,Amateur,F,,,,,,,,,,,,,,,,,
42,Nidoqueen,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,Yes,,Ace,F,,,,,,,,,,,,,,,,,
43,Nidoran M,Poison,,3,2,4,2,4,1,3,1,3,1,3,Poison Point,Rivalry,Hustle,,Yes,,Beginner,M,,,,,,,,,,,,,,,,,
44,Nidorino,Poison,,4,2,5,2,4,2,4,2,4,2,4,Poison Point,Rivalry,Hustle,,,,Amateur,M,,,,,,,,,,,,,,,,,
45,Nidoking,Poison,Ground,5,3,6,2,5,2,5,2,5,2,5,Poison Point,Rivalry,Sheer Force,,,,Ace,M,,,,,,,,,,,,,,,,,
46,Clefairy,Fairy,,4,2,4,1,3,2,4,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
47,Clefable,Fairy,,5,2,5,2,4,2,5,3,6,2,5,Cute Charm,Magic Guard,Unaware,,,,Amateur,,,,,,,,,,,,,,,,,,
48,Vulpix,Fire,,3,1,3,2,4,1,3,2,4,2,4,Flash Fire,,Drought,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
49,Alolan Vulpix,Ice,,3,1,3,2,4,1,3,2,4,2,4,Snow Cloak,,Snow Warning,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
50,Ninetales,Fire,,4,2,5,3,6,2,5,2,5,3,6,Flash Fire,,Drought,,,,Amateur,,,,,,,,,,,,,,,,,,
51,Alolan Ninetales,Ice,,4,2,4,3,6,2,5,2,5,3,6,Snow Cloak,,Snow Warning,,,,Amateur,,,,,,,,,,,,,,,,,,
52,Jigglypuff,Normal,Fairy,4,2,4,1,3,1,3,2,4,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
53,Wigglytuff,Normal,Fairy,7,2,5,2,4,2,4,2,5,2,4,Cute Charm,Competitive,Frisk,,,,Amateur,,,,,,,,,,,,,,,,,,
54,Zubat,Poison,Flying,3,2,4,2,4,1,3,1,3,1,3,Inner Focus,,Infiltrator,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
55,Golbat,Poison,Flying,4,2,5,2,5,2,5,2,4,2,5,Inner Focus,,Infiltrator,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
56,Oddish,Grass,Poison,3,2,4,1,3,2,4,2,5,2,4,Chlorophyll,,Run Away,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
57,Gloom,Grass,Poison,4,2,4,2,3,2,5,2,5,2,5,Chlorophyll,,Stench,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
58,Vileplume,Grass,Poison,5,2,5,2,4,2,5,3,6,2,5,Chlorophyll,,Effect Spore,,,,Amateur,,,,,,,,,,,,,,,,,,
59,Paras,Bug,Grass,3,2,5,1,3,2,4,2,4,2,4,Effect Spore,Dry Skin,Damp,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
60,Parasect,Bug,Grass,4,3,6,1,3,2,5,2,5,2,5,Effect Spore,Dry Skin,Damp,,,,Amateur,,,,,,,,,,,,,,,,,,
61,Venonat,Bug,Poison,3,2,4,1,3,2,4,2,4,2,4,Compound Eyes,Tinted Lens,Run Away,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
62,Venomoth,Bug,Poison,4,2,4,2,4,2,5,2,5,2,5,Shield Dust,Tinted Lens,Wonder Skin,,,,Amateur,,,,,,,,,,,,,,,,,,
63,Diglett,Ground,,3,2,4,3,6,1,3,1,3,1,3,Sand Veil,Arena Trap,Sand Force,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
64,Alolan Diglett,Ground,Steel,3,2,4,2,5,1,3,1,3,1,4,Sand Veil,Tangling Hair,Sand Force,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
65,Dugtrio,Ground,,4,2,5,3,7,2,4,2,4,2,5,Sand Veil,Arena Trap,Sand Force,,,,Amateur,,,,,,,,,,,,,,,,,,
66,Alolan Dugtrio,Ground,Steel,4,3,6,3,6,2,4,2,4,2,5,Sand Veil,Tangling Hair,Sand Force,,,,Amateur,,,,,,,,,,,,,,,,,,
67,Meowth,Normal,,3,2,4,2,5,1,3,1,3,1,3,Pickup,Technician,Unnerve,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
68,Alolan Meowth,Dark,,3,1,3,2,5,1,3,2,4,1,3,Pickup,Technician,Rattled,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
69,Galarian Meowth,Steel,,3,2,5,1,3,2,4,1,3,1,3,Pickup,Tough Claws,Unnerve,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
70,Persian,Normal,,4,2,5,3,6,2,4,2,4,2,4,Limber,Technician,Unnerve,,,,Amateur,,,,,,,,,,,,,,,,,,
71,Alolan Persian,Dark,,4,2,4,3,6,2,4,2,5,2,4,Fur Coat,Technician,Rattled,,,,Amateur,,,,,,,,,,,,,,,,,,
72,Psyduck,Water,,3,2,4,2,4,2,4,2,4,2,4,Damp,Cloud Nine,Swift Swim,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
73,Golduck,Water,,4,2,5,2,5,2,5,3,6,2,5,Damp,Cloud Nine,Swift Swim,,,,Amateur,,,,,,,,,,,,,,,,,,
74,Mankey,Fighting,,3,2,5,2,5,1,3,1,3,2,4,Vital Spirit,Anger Point,Defiant,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
75,Primeape,Fighting,,4,3,6,3,6,2,4,2,4,2,5,Vital Spirit,Anger Point,Defiant,,,,Amateur,,,,,,,,,,,,,,,,,,
76,Growlithe,Fire,,3,2,5,2,5,2,4,2,5,2,4,Intimidate,Flash Fire,Justified,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
77,Arcanine,Fire,,4,3,6,3,6,2,5,3,6,2,5,Intimidate,Flash Fire,Justified,,,,Ace,,,,,,,,,,,,,,,,,,
78,Poliwag,Water,,3,2,4,2,5,1,3,1,3,1,3,Water Absorb,Damp,Swift Swim,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
79,Poliwhirl,Water,,4,2,4,2,5,2,4,2,4,2,4,Water Absorb,Damp,Swift Swim,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
80,Poliwrath,Water,Fighting,5,3,6,2,5,3,6,2,5,2,5,Water Absorb,Damp,Swift Swim,,,Yes,Ace,,,,,,,,,,,,,,,,,,
81,Abra,Psychic,,3,1,3,2,5,1,2,3,6,1,3,Synchronize,Inner Focus,Magic Guard,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
82,Kadabra,Psychic,,4,1,3,3,6,1,3,3,7,2,5,Synchronize,Inner Focus,Magic Guard,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
83,Alakazam,Psychic,,5,2,4,3,7,2,4,3,7,3,6,Synchronize,Inner Focus,Magic Guard,,,Yes,Ace,,,,,,,,,,,,,,,,,,
84,Mega-Alakazam,Psychic,,6,2,4,4,8,2,4,4,9,3,6,Trace,,,,,,Pro,,,,,,,,,,,,,,,,,,
85,Machop,Fighting,,3,2,5,1,3,2,4,1,3,1,3,Guts,No Guard,Steadfast,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
86,Machoke,Fighting,,4,3,6,2,4,2,5,2,4,2,4,Guts,No Guard,Steadfast,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
87,Machamp,Fighting,,5,3,7,2,4,2,5,2,4,2,5,Guts,No Guard,Steadfast,,,,Ace,,,,,,,,,,,,,,,,,,
88,Bellsprout,Grass,Poison,3,2,5,1,3,1,3,2,5,1,3,Chlorophyll,,Gluttony,,Yes,,Starter,,,,,,,,,,,,,,,,,,
89,Weepinbell,Grass,Poison,4,2,5,2,4,2,4,2,5,2,4,Chlorophyll,,Gluttony,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
90,Victreebel,Grass,Poison,5,3,6,2,5,2,4,3,6,2,5,Chlorophyll,,Gluttony,,,,Amateur,,,,,,,,,,,,,,,,,,
91,Tentacool,Water,Poison,3,1,3,2,5,1,3,2,4,3,6,Clear Body,Liquid Ooze,Rain Dish,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
92,Tentacruel,Water,Poison,5,2,5,3,6,2,4,2,5,3,7,Clear Body,Liquid Ooze,Rain Dish,,,,Amateur,,,,,,,,,,,,,,,,,,
93,Geodude,Rock,Ground,3,2,5,1,3,3,6,1,3,1,3,Rock Head,Sturdy,Sand Veil,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
94,Alolan Geodude,Rock,Electric,3,2,5,1,3,3,6,1,3,1,3,Magnet Pull,Sturdy,Galvanize,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
95,Graveler,Rock,Ground,4,3,6,1,3,3,6,2,4,2,4,Rock Head,Sturdy,Sand Veil,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
96,Alolan Graveler,Rock,Electric,4,3,6,1,3,3,6,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
97,Golem,Rock,Ground,5,3,8,2,4,3,7,2,4,2,4,Rock Head,Sturdy,Sand Veil,,,,Ace,,,,,,,,,,,,,,,,,,
98,Alolan Golem,Rock,Electric,5,3,7,2,4,3,7,2,4,2,4,Magnet Pull,Sturdy,Galvanize,,,,Ace,,,,,,,,,,,,,,,,,,
99,Ponyta,Fire,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Flash Fire,Flame Body,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
100,Galarian Ponyta,Psychic,,3,2,5,2,5,2,4,2,4,2,4,Run Away,Pastel Veil,Anticipation,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
101,Rapidash,Fire,,4,3,6,3,6,2,5,2,5,2,5,Run Away,Flash Fire,Flame Body,,,,Amateur,,,,,,,,,,,,,,,,,,
102,Galarian Rapidash,Psychic,Fairy,4,3,6,3,6,2,5,2,5,2,5,Run Away,Pastel Veil,Anticipation,,,,Ace,,,,,,,,,,,,,,,,,,
103,Slowpoke,Water,Psychic,4,2,4,1,2,2,4,1,3,1,3,Oblivious,Own Tempo,Regenerator,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
104,Galarian Slowpoke,Psychic,,4,2,4,1,2,2,4,1,3,1,3,Gluttony,Own Tempo,Regenerator,,,,Beginner,,,,,,,,,,,,,,,,,,
105,Slowbro,Water,Psychic,5,2,5,1,3,4,6,3,6,2,5,Oblivious,Own Tempo,Regenerator,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
106,Mega-Slowbro,Water,Psychic,5,2,5,1,2,4,9,3,7,2,5,Shell Armor,,,,,,Ace,,,,,,,,,,,,,,,,,,
107,Magnemite,Electric,Steel,3,2,4,2,5,2,4,2,4,2,4,Magnet Pull,Sturdy,Analytic,,Yes,,Beginner,N,,,,,,,,,,,,,,,,,
108,Magneton,Electric,Steel,4,2,4,2,5,3,6,3,7,2,6,Magnet Pull,Sturdy,Analytic,,Yes,,Amateur,N,,,,,,,,,,,,,,,,,
109,Farfetch'd,Normal,Flying,4,2,5,2,4,2,4,2,4,2,4,Keen Eye,Inner Focus,Defiant,,,,Beginner,,,,,,,,,,,,,,,,,,
110,Galarian Farfetch'd,Fighting,,3,2,5,2,4,2,4,2,4,2,4,Steadfast,,Scrappy,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
111,Doduo,Normal,Flying,3,2,5,2,5,2,4,1,3,1,3,Run Away,Early Bird,Tangled Feet,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
112,Dodrio,Normal,Flying,4,3,6,3,6,2,5,2,4,2,4,Run Away,Early Bird,Tangled Feet,,,,Amateur,,,,,,,,,,,,,,,,,,
113,Seel,Water,,3,2,4,2,4,2,4,2,4,2,5,Thick Fat,Hydration,Ice Body,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
114,Dewgong,Water,Ice,4,2,5,2,5,2,5,2,5,3,6,Thick Fat,Hydration,Ice Body,,,,Amateur,,,,,,,,,,,,,,,,,,
115,Grimer,Poison,,3,2,5,1,3,2,4,1,3,2,4,Stench,Sticky Hold,Poison Touch,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
116,Alolan Grimer,Poison,Dark,3,2,5,1,3,2,4,1,3,2,4,Poison Touch,Gluttony,Power of Alchemy,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
117,Muk,Poison,,5,3,6,2,4,2,5,2,4,3,6,Stench,Sticky Hold,Poison Touch,,,,Amateur,,,,,,,,,,,,,,,,,,
118,Alolan Muk,Poison,Dark,5,3,6,2,4,2,5,2,4,3,6,Poison Touch,Gluttony,Power of Alchemy,,,,Amateur,,,,,,,,,,,,,,,,,,
119,Shellder,Water,,3,2,4,1,3,3,6,2,4,1,3,Shell Armor,Skill Link,Overcoat,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
120,Cloyster,Water,Ice,4,3,6,2,5,4,9,2,5,2,4,Shell Armor,Skill Link,Overcoat,,,,Amateur,,,,,,,,,,,,,,,,,,
121,Gastly,Ghost,Poison,4,1,3,2,5,1,3,3,6,1,3,Levitate,,,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
122,Haunter,Ghost,Poison,4,2,4,3,6,2,4,3,6,2,4,Levitate,,,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
123,Gengar,Ghost,Poison,5,2,4,3,6,2,4,3,7,2,5,Cursed Body,,,,,Yes,Ace,,,,,,,,,,,,,,,,,,
124,Mega-Gengar,Ghost,Poison,6,2,4,3,7,2,5,3,9,3,6,Shadow Tag,,,,,,Pro,,,,,,,,,,,,,,,,,,
125,Onix,Rock,Ground,8,2,4,2,5,4,8,1,3,2,4,Rock Head,Sturdy,Weak Armor,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
126,Drowzee,Psychic,,3,2,4,1,3,2,4,1,3,2,5,Insomnia,Forewarn,Inner Focus,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
127,Hypno,Psychic,,4,2,5,2,4,2,5,2,5,3,6,Insomnia,Forewarn,Inner Focus,,,,Amateur,,,,,,,,,,,,,,,,,,
128,Krabby,Water,,3,3,6,2,4,2,5,1,3,1,3,Hyper Cutter,Shell Armor,Sheer Force,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
129,Kingler,Water,,4,3,7,2,5,3,6,2,4,2,4,Hyper Cutter,Shell Armor,Sheer Force,,,,Amateur,,,,,,,,,,,,,,,,,,
130,Voltorb,Electric,,3,1,3,3,6,2,4,2,4,2,4,Soundproof,Static,Aftermath,,Yes,,Beginner,N,,,,,,,,,,,,,,,,,
131,Electrode,Electric,,4,2,4,4,8,2,5,2,5,2,5,Soundproof,Static,Aftermath,,,,Amateur,N,,,,,,,,,,,,,,,,,
132,Exeggcute,Grass,Psychic,3,1,3,1,3,2,5,2,4,2,4,Chlorophyll,,Harvest,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
133,Exeggutor,Grass,Psychic,5,3,6,2,4,2,5,3,7,2,5,Chlorophyll,,Harvest,,,,Amateur,,,,,,,,,,,,,,,,,,
134,Alolan Exeggutor,Grass,Dragon,5,3,6,2,4,2,5,3,7,2,5,Frisk,,Harvest,,,,Amateur,,,,,,,,,,,,,,,,,,
135,Cubone,Ground,,3,2,4,1,3,3,6,2,4,2,4,Rock Head,Lightning Rod,Battle Armor,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
136,Marowak,Ground,,4,2,5,2,4,3,6,2,4,2,5,Rock Head,Lightning Rod,Battle Armor,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
137,Alolan Marowak,Fire,Ghost,4,2,5,2,4,3,6,2,4,2,5,Cursed Body,Lightning Rod,Rock Head,,,,Amateur,,,,,,,,,,,,,,,,,,
138,Hitmonlee,Fighting,,4,3,7,2,5,2,4,1,3,3,6,Limber,Reckless,Unburden,,,,Amateur,M,,,,,,,,,,,,,,,,,
139,Hitmonchan,Fighting,,4,3,6,2,4,3,6,1,3,3,6,Keen Eye,Iron Fist,Inner Focus,,,,Amateur,M,,,,,,,,,,,,,,,,,
140,Lickitung,Normal,,3,2,4,1,3,2,5,2,4,2,5,Own Tempo,Oblivious,Cloud Nine,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
141,Koffing,Poison,,3,2,4,1,3,3,6,2,4,2,4,Levitate,Neutralizing Gas,Stench,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
142,Weezing,Poison,,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Stench,,,,Amateur,,,,,,,,,,,,,,,,,,
143,Galarian Weezing,Poison,Fairy,4,2,5,2,4,3,7,2,5,2,5,Levitate,Neutralizing Gas,Misty Surge,,,,Amateur,,,,,,,,,,,,,,,,,,
144,Rhyhorn,Ground,Rock,3,2,5,1,3,3,6,1,3,1,3,Lightning Rod,Rock Head,Reckless,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
145,Rhydon,Ground,Rock,5,3,7,1,3,3,7,2,4,2,4,Lightning Rod,Rock Head,Reckless,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
146,Chansey,Normal,,12,1,2,2,4,1,2,1,3,3,6,Natural Cure,Serene Grace,Healer,,Yes,,Beginner,F,,,,,,,,,,,,,,,,,
147,Tangela,Grass,,3,2,4,2,4,3,6,3,6,1,3,Chlorophyll,Leaf Guard,Regenerator,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
148,Kangaskhan,Normal,,5,3,6,2,5,2,5,1,3,2,5,Early Bird,Scrappy,Inner Focus,,,Yes,Amateur,F,,,,,,,,,,,,,,,,,
149,Mega-Kangaskhan,Normal,,6,3,7,3,6,3,6,2,4,3,6,Parental Bond,,,,,,Ace,F,,,,,,,,,,,,,,,,,
150,Horsea,Water,,3,2,4,2,4,2,5,2,5,1,3,Swift Swim,Sniper,Damp,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
151,Seadra,Water,,4,2,4,2,5,3,6,3,6,2,4,Poison Point,Sniper,Damp,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
152,Goldeen,Water,,3,2,4,2,4,2,4,1,3,2,4,Swift Swim,Water Veil,Lightning Rod,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
153,Seaking,Water,,4,3,6,2,4,2,4,2,4,2,5,Swift Swim,Water Veil,Lightning Rod,,,,Amateur,,,,,,,,,,,,,,,,,,
154,Staryu,Water,,3,2,4,2,5,2,4,2,5,2,4,Illuminate,Natural Cure,Analytic,,Yes,,Beginner,N,,,,,,,,,,,,,,,,,
155,Starmie,Water,Psychic,4,2,5,3,6,2,5,3,6,2,5,Illuminate,Natural Cure,Analytic,,,,Amateur,N,,,,,,,,,,,,,,,,,
156,Mr. Mime,Psychic,Fairy,4,2,4,2,5,2,4,3,6,3,7,Soundproof,Filter,Technician,,,,Beginner,,,,,,,,,,,,,,,,,,
157,Galarian Mr. Mime,Ice,Psychic,4,2,4,3,6,2,4,2,5,2,5,Vital Spirit,Screen Cleaner,Ice Body,,,,Amateur,,,,,,,,,,,,,,,,,,
158,Scyther,Bug,Flying,3,3,6,3,6,2,5,2,4,2,5,Swarm,Technician,Steadfast,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
159,Jynx,Ice,Psychic,4,2,4,3,6,1,3,3,6,3,6,Oblivious,Forewarn,Dry Skin,,,,Amateur,F,,,,,,,,,,,,,,,,,
160,Electabuzz,Electric,,4,2,5,3,6,2,4,3,6,2,5,Static,,Vital Spirit,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
161,Magmar,Fire,,4,3,6,2,5,2,4,3,6,2,5,Flame Body,,Vital Spirit,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
162,Pinsir,Bug,,4,3,7,2,5,3,6,2,4,2,5,Hyper Cutter,Mold Breaker,Moxie,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
163,Mega-Pinsir,Bug,Flying,5,4,8,3,6,3,7,2,4,2,5,Aerilate,,,,,,Ace,,,,,,,,,,,,,,,,,,
164,Tauros,Normal,,4,3,6,3,6,3,6,1,3,2,5,Intimidate,Anger Point,Sheer Force,,,,Amateur,M,,,,,,,,,,,,,,,,,
165,Magikarp,Water,,3,1,2,2,5,2,4,1,2,1,3,Swift Swim,,Rattled,,Yes,,Starter,,,,,,,,,,,,,,,,,,
166,Gyarados,Water,Flying,7,3,7,2,5,2,5,2,4,3,6,Intimidate,,Moxie,,,Yes,Ace,,,,,,,,,,,,,,,,,,
